"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 19 11:40:48 MSK 2021","Mon Jul 19 11:40:48 MSK 2021","261","Удаление случайного кота","","","","","Удаление найденного кота",""
"passed","Mon Jul 19 11:40:48 MSK 2021","Mon Jul 19 11:40:48 MSK 2021","231","Удаление случайного кота","","","","","Проверка того, что кот удален",""
"passed","Mon Jul 19 11:40:47 MSK 2021","Mon Jul 19 11:40:48 MSK 2021","249","Удаление случайного кота","","","","","Выдергиваем рандомное ID и проверяем наличие такого кота",""
"passed","Mon Jul 19 11:40:47 MSK 2021","Mon Jul 19 11:40:47 MSK 2021","393","Удаление случайного кота","","","","","Получение списка котов методом GET /getAllByLetter ",""
